label,message,label_id,char_count,word_count,digit_count,has_currency,has_long_number,normalized_message
ham,"I think we're going to finn's now, come",0,39,8,0,False,False,"i think we're going to finn's now, come"
ham,No break time one... How... I come out n get my stuff fr ü?,0,59,14,0,False,False,no break time one... how... i come out n get my stuff fr ü?
ham,Yes fine ,0,9,2,0,False,False,yes fine
ham,I come n pick ü up... Come out immediately aft ur lesson...,0,59,12,0,False,False,i come n pick ü up... come out immediately aft ur lesson...
ham,I dont want to hear anything,0,28,6,0,False,False,i dont want to hear anything
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08719899230 Identifier Code: 41685 Expires 07/11/04,1,136,20,29,False,True,private! your 2003 account statement for shows 800 un-redeemed s. i. m. points. call 08719899230 identifier code: 41685 expires 07/11/04
ham,"K, can I pick up another 8th when you're done?",0,46,10,1,False,False,"k, can i pick up another 8th when you're done?"
ham,"No we put party 7 days a week and study lightly, I think we need to draw in some custom checkboxes so they know we're hardcore",0,126,26,1,False,False,"no we put party 7 days a week and study lightly, i think we need to draw in some custom checkboxes so they know we're hardcore"
spam,"You are being contacted by our Dating Service by someone you know! To find out who it is, call from your mobile or landline 09064017305 PoBox75LDNS7 ",1,149,26,14,False,True,"you are being contacted by our dating service by someone you know! to find out who it is, call from your mobile or landline 09064017305 pobox75ldns7"
spam,"This is the 2nd time we have tried to contact u. U have won the £400 prize. 2 claim is easy, just call 087104711148 NOW! Only 10p per minute. BT-national-rate",1,158,30,19,True,True,"this is the 2nd time we have tried to contact u. u have won the £400 prize. 2 claim is easy, just call 087104711148 now! only 10p per minute. bt-national-rate"
ham,Ok i found dis pierre cardin one which looks normal costs 20 its on sale.,0,73,15,2,False,False,ok i found dis pierre cardin one which looks normal costs 20 its on sale.
ham,Hi happy birthday. Hi hi hi hi hi hi hi,0,39,10,0,False,False,hi happy birthday. hi hi hi hi hi hi hi
ham,No no. I will check all rooms befor activities,0,46,9,0,False,False,no no. i will check all rooms befor activities
ham,Went to pay rent. So i had to go to the bank to authorise the payment.,0,70,16,0,False,False,went to pay rent. so i had to go to the bank to authorise the payment.
ham,I might go 2 sch. Yar at e salon now v boring.,0,46,12,1,False,False,i might go 2 sch. yar at e salon now v boring.
ham,Do you like Italian food?,0,25,5,0,False,False,do you like italian food?
